country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,45,45,45,42,44,44,44,44,44,44,44,44,44,44,44,44,44,39,22,22,22,28,34,34,34,34,32,23,23,23,18,18,18,18,18,18,18,18,18,20,21,19,19,24
Albania,76,76,70,70,70,70,69,69,69,69,65,65,65,65,63,59,48,45,45,45,45,44,42,39,38,38,41,38,38,38,45,45,45,35,35,34,35,36,39,38,38,38,31,29
Algeria,50,50,50,48,46,44,44,44,44,44,44,44,44,44,46,46,46,45,44,44,44,44,44,44,43,36,35,35,35,35,35,35,35,35,35,35,36,36,37,37,37,38,36,32
Angola,49,49,49,46,46,45,45,43,43,44,44,44,43,37,37,37,37,30,30,30,30,30,29,29,29,29,29,22,17,17,17,17,17,17,17,17,17,16,16,16,16,16,30,41
Argentina,51,50,50,50,50,50,50,50,58,60,61,61,61,61,60,50,50,50,50,50,50,50,49,49,49,56,55,54,47,47,47,47,47,47,47,47,47,47,47,47,49,51,51,50
Armenia,,,,,,,,,,,,,,,,,51,51,51,51,50,42,41,40,40,37,27,27,27,27,27,27,27,31,31,31,31,33,32,32,32,32,34,49
Australia,87,87,87,87,87,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,91,91,91,91,92,91,91,91,91,91,92,91,82,83,83,83,82,77
Austria,71,71,71,71,71,63,63,63,63,64,64,64,65,65,65,65,65,65,65,65,65,65,65,65,65,63,62,62,64,62,62,63,65,65,65,65,64,64,77,77,77,77,77,78
Azerbaijan,,,,,,,,,,,,,,,,,38,39,22,11,11,11,11,11,12,12,12,12,12,12,11,11,11,11,11,15,15,15,15,15,15,4,4,12
Bahrain,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48,48,48,48,47,47,47,47,42,41,42,42,42,44,44,44,44,44,44,44,43,44,44,43,43,43,43
Bangladesh,25,25,25,25,25,25,25,16,16,15,15,15,15,15,15,15,23,23,24,24,24,19,19,19,19,19,17,16,16,16,16,16,25,25,21,21,21,21,22,22,25,25,24,26
Belarus,,,,,,,,,,,,,,,,,45,45,45,42,43,43,43,44,47,47,47,47,47,47,47,45,43,43,43,43,43,43,46,46,47,46,46,46
Belgium,86,86,86,86,86,86,86,86,86,87,87,87,87,87,87,85,85,85,85,85,84,84,86,86,86,86,86,86,86,86,86,86,86,86,87,87,87,87,85,84,84,84,84,81
Benin,40,40,40,40,40,48,48,48,48,48,48,48,46,46,46,37,40,40,40,40,40,37,35,35,35,35,35,35,35,35,37,37,37,38,38,38,38,38,40,40,37,54,50,55
Bolivia,19,19,19,19,21,21,18,36,40,40,40,41,43,43,43,43,43,43,43,43,44,44,44,44,44,44,43,42,43,45,46,43,43,43,43,44,44,43,49,48,48,48,48,48
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,43,43,43,43,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,38,38,40,40,40,39
